,Symbol
932,IDFCBANK
933,IDFCFIRSTB
934,IDFNIFTYET
935,IEL
936,IEX
937,IFBAGRO
938,IFBIND
939,IFCI
940,IFGLEXPOR
941,IGARASHI
942,IGL
943,IGOLD
944,IGPL
945,IIFL
946,IIFLSEC
947,IIFLWAM
948,IILTD
949,IITL
950,IKIO
951,IL&FSENGG
952,IL&FSTRANS
953,IMAGICAA
954,IMFA
955,IMPAL
956,IMPEXFERRO
957,INCREDIBLE
958,INDBANK
959,INDHOTEL
960,INDIAGLYCO
961,INDIAINFO
962,INDIAMART
963,INDIANB
964,INDIANCARD
965,INDIANHUME
966,INDIGO
967,INDIGOPNTS
968,INDNIPPON
969,INDOAMIN
970,INDOBORAX
971,INDOCO
972,INDORAMA
973,INDOSTAR
974,INDOTECH
975,INDOTHAI
976,INDOWIND
977,INDRAMEDCO
978,INDSHAVING
979,INDSWFTLAB
980,INDSWFTLTD
981,INDTERRAIN
982,INDUSINDBK
983,INDUSTOWER
984,INEABS
985,INEOSSTYRO
986,INFIBEAM
987,INFOBEAN
988,INFOMEDIA
989,INFOSYSTCH
990,INFOTECENT
991,INFRABEES
992,INFRATEL
993,INFY
994,INGERRAND
995,INIFTY
996,INOXGREEN
997,INOXWIND
998,INSECTICID
999,INSPIRISYS
1000,INTEGRA
1001,INTELLECT
1002,INTENTECH
1003,INTLCONV
1004,INVENTURE
1005,INVESTCORP
1006,IOB
1007,IOC
1008,IOL
1009,IOLCP
1010,IONEXCHANG
1011,IPAPPM
1012,IPCALAB
1013,IPGETF
1014,IPL
1015,IRB
1016,IRCON
1017,IRCTC
1018,IREDA
1019,IRFC
1020,IRIS
1021,IRISDOREME
1022,IRMENERGY
1023,ISEC
1024,ISENSEX
1025,ISFT
1026,ISGEC
1027,ISMTLTD
1028,IT&T
1029,ITBEES
1030,ITC
1031,ITDCEM
1032,ITI
1033,IVC
1034,IVP
1035,IVZINGOLD
1036,IVZINNIFTY
1037,IWEL
1038,IZMO
1039,J&KBANK
1040,JAGRAN
1041,JAGSNPHARM
1042,JAIBALAJI
1043,JAICORPLTD
1044,JAIPURKURT
1045,JAMNAAUTO
1046,JASH
1047,JAYAGROGN
1048,JAYBARMARU
1049,JAYNECOIND
1050,JAYSREETEA
1051,JBCHEPHARM
1052,JBMA
1053,JBMAUTOCOM
1054,JBMT
1055,JCHAC
1056,JETAIRWAYS
1057,JETFREIGHT
1058,JHS
1059,JINDALPHOT
1060,JINDALPOLY
1061,JINDALSAW
1062,JINDALSTEL
1063,JINDALSWHL
1064,JINDRILL
1065,JINDWORLD
1066,JIOFIN
1067,JISLDVREQS
1068,JISLJALEQS
1069,JITFINFRA
1070,JKCEMENT
1071,JKIL
1072,JKLAKSHMI
1073,JKPAPER
1074,JKTYRE
1075,JLHL
1076,JMA
1077,JMFINANCIL
1078,JOCIL
1079,JPASSOCIAT
1080,JPHYDRO
1081,JPOLYINVST
1082,JPPOWER
1083,JSL
1084,JSTAINLESS
1085,JSTRIPS
1086,JSWENERGY
1087,JSWHL
1088,JSWINFRA
1089,JSWSTEEL
1090,JSWSTL
1091,JTEKTINDIA
1092,JTLIND
1093,JUBILANT
1094,JUBLFOOD
1095,JUBLINDS
1096,JUBLINGREA
1097,JUBLPHARMA
1098,JUNIORBEES
1099,JUSTDIAL
1100,JWL
1101,JYOTHYLAB
1102,JYOTISTRUC
1103,KABRAEXTRU
1104,KAJARIACER
1105,KAKATCEM
1106,KALAMANDIR
1107,KALECONSUL
1108,KALPATPOWR
1109,KALYANIFRG
1110,KALYANKJIL
1111,KAMATHOTEL
1112,KAMDHENU
1113,KAMOPAINTS
1114,KANANIIND
1115,KANORICHEM
1116,KANPRPLA
1117,KANSAINER
1118,KAPSTON
1119,KARDA
1120,KARMAENG
1121,KARURVYSYA
1122,KAUSHALYA
1123,KAVVERITEL
1124,KAYA
1125,KAYNES
1126,KBCGLOBAL
1127,KCP
1128,KCPSUGIND
1129,KDDL
1130,KEC
1131,KECL
1132,KEEPLEARN
1133,KEERTI
1134,KEI
1135,KELLTONTEC
1136,KERNEX
1137,KESORAMIND
1138,KEYCORPSER
1139,KEYFINSERV
1140,KFINTECH
1141,KHADIM
1142,KHAICHEM
1143,KHAITANLTD
1144,KHANDSE
1145,KICL
1146,KIL
1147,KILITCH
1148,KIMS
1149,KINGFA
1150,KIOCL
1151,KIRIDYES
1152,KIRIINDUS
1153,KIRLOSBROS
1154,KIRLOSENG
1155,KIRLOSIND
1156,KIRLOSKCUM
1157,KIRLPNU
1158,KITEX
1159,KKCL
1160,KNRCON
1161,KOHINOOR
1162,KOKUYOCMLN
1163,KOLTEPATIL
1164,KOPRAN
1165,KOTAKBANK
1166,KOTAKBKETF
1167,KOTAKGOLD
1168,KOTAKMAH
1169,KOTAKNIFTY
1170,KOTAKNV20
1171,KOTAKPSUBK
1172,KOTARISUG
1173,KOTHARIPET
1174,KOTHARIPRO
1175,KPIGLOBAL
1176,KPIGREEN
1177,KPIL
1178,KPIT
1179,KPITTECH
1180,KPRMILL
1181,KRBL
1182,KREBSBIO
1183,KRIDHANINF
1184,KRISHANA
1185,KRITI
1186,KRITIKA
1187,KRITINUT
1188,KRSNAA
1189,KSB
